as_of_month,decile,count,pd_avg,odr,abs_err_bp
2024-01-31,1,1000,0.0005515844439984095,0.001,4.484155560015905
2024-01-31,2,1000,0.002428697994584081,0.001,14.286979945840809
2024-01-31,3,1000,0.0036970874451499785,0.005,13.029125548500216
2024-01-31,4,1000,0.0046897544513916055,0.004,6.8975445139160545
2024-01-31,5,1000,0.005586510450893999,0.006,4.134895491060015
2024-01-31,6,1000,0.0065035606953000565,0.006,5.035606953000563
2024-01-31,7,1000,0.007556755915291312,0.014,64.43244084708688
2024-01-31,8,1000,0.008949143988368227,0.01,10.50856011631773
2024-01-31,9,1000,0.011736110917924179,0.01,17.361109179241783
2024-01-31,10,1000,0.0786888069374517,0.088,93.11193062548296
2024-02-29,1,1000,0.000580564033161776,0.0,5.80564033161776
2024-02-29,2,1000,0.0024192540018757305,0.001,14.192540018757304
2024-02-29,3,1000,0.0036328552940982028,0.005,13.671447059017973
2024-02-29,4,1000,0.004670308045786213,0.005,3.29691954213787
2024-02-29,5,1000,0.00561877168473076,0.008,23.812283152692405
2024-02-29,6,1000,0.00655319224552996,0.002,45.5319224552996
2024-02-29,7,1000,0.007614964962816344,0.01,23.850350371836562
2024-02-29,8,1000,0.008968422213549623,0.011,20.31577786450377
2024-02-29,9,1000,0.011845526041222394,0.007,48.455260412223936
2024-02-29,10,1000,0.08218456547130706,0.094,118.15434528692936
2024-03-31,1,1000,0.0005472820491916502,0.001,4.527179508083498
2024-03-31,2,1000,0.0023465124754680493,0.001,13.465124754680494
2024-03-31,3,1000,0.0035769673105595246,0.004,4.2303268944047545
2024-03-31,4,1000,0.004548744594150864,0.005,4.512554058491358
2024-03-31,5,1000,0.005481017583828801,0.008,25.189824161711993
2024-03-31,6,1000,0.006418636861713889,0.004,24.186368617138886
2024-03-31,7,1000,0.007488635247649907,0.008,5.113647523500931
2024-03-31,8,1000,0.008816527870883705,0.004,48.16527870883705
2024-03-31,9,1000,0.011633712053957551,0.011,6.337120539575518
2024-03-31,10,1000,0.07891139758224382,0.073,59.11397582243821
2024-04-30,1,1000,0.0005836439343202466,0.0,5.836439343202466
2024-04-30,2,1000,0.002353715157169859,0.001,13.537151571698589
2024-04-30,3,1000,0.0036047726422556155,0.005,13.952273577443847
2024-04-30,4,1000,0.004563180790881055,0.002,25.63180790881055
2024-04-30,5,1000,0.005469592901299921,0.007,15.304070987000795
2024-04-30,6,1000,0.006393398112698757,0.004,23.93398112698757
2024-04-30,7,1000,0.007452935170180241,0.008,5.470648298197588
2024-04-30,8,1000,0.008831170528814951,0.009,1.6882947118504812
2024-04-30,9,1000,0.011783978986195797,0.014,22.16021013804203
2024-04-30,10,1000,0.08590785431651275,0.084,19.07854316512747
2024-05-31,1,1000,0.0005650377786498352,0.002,14.349622213501648
2024-05-31,2,1000,0.0023807754388503626,0.003,6.192245611496374
2024-05-31,3,1000,0.003557022172793578,0.008,44.42977827206422
2024-05-31,4,1000,0.004593109197983083,0.005,4.068908020169173
2024-05-31,5,1000,0.005531378151793841,0.007,14.686218482061587
2024-05-31,6,1000,0.00652103812685736,0.007,4.789618731426398
2024-05-31,7,1000,0.007560210355048467,0.006,15.602103550484665
2024-05-31,8,1000,0.008945288986160954,0.014,50.54711013839046
2024-05-31,9,1000,0.011883007895450281,0.013,11.169921045497185
2024-05-31,10,1000,0.07764839485570425,0.077,6.48394855704254
2024-06-30,1,1000,0.0005025612511152537,0.001,4.974387488847463
2024-06-30,2,1000,0.002264878990846842,0.001,12.648789908468421
2024-06-30,3,1000,0.0035219187561966532,0.001,25.21918756196653
2024-06-30,4,1000,0.004559841481830684,0.0,45.59841481830684
2024-06-30,5,1000,0.005493332898407635,0.012,65.06667101592366
2024-06-30,6,1000,0.00643792076550258,0.007,5.620792344974198
2024-06-30,7,1000,0.007467430772163558,0.008,5.325692278364425
2024-06-30,8,1000,0.008801292128415815,0.007,18.012921284158146
2024-06-30,9,1000,0.011611973100829802,0.013,13.880268991701971
2024-06-30,10,1000,0.0741146088929018,0.078,38.85391107098194
2024-07-31,1,1000,0.0005168170570032391,0.0,5.168170570032391
2024-07-31,2,1000,0.002323635532570609,0.003,6.7636446742939125
2024-07-31,3,1000,0.0035856585555557666,0.007,34.143414444442335
2024-07-31,4,1000,0.004569428348408471,0.01,54.30571651591529
2024-07-31,5,1000,0.0054910166136330095,0.007,15.089833863669908
2024-07-31,6,1000,0.0064180565435491025,0.003,34.180565435491026
2024-07-31,7,1000,0.007450662416962965,0.009,15.49337583037034
2024-07-31,8,1000,0.00874562081393898,0.007,17.456208139389794
2024-07-31,9,1000,0.011349090945302155,0.011,3.4909094530215583
2024-07-31,10,1000,0.0737782743354214,0.08,62.21725664578598
2024-08-31,1,1000,0.0005660855256892528,0.0,5.660855256892527
2024-08-31,2,1000,0.002413909265105165,0.004,15.860907348948352
2024-08-31,3,1000,0.003607000015221994,0.003,6.070000152219942
2024-08-31,4,1000,0.004599259839992753,0.004,5.9925983999275285
2024-08-31,5,1000,0.005550660445129245,0.004,15.506604451292448
2024-08-31,6,1000,0.006504143646020965,0.004,25.041436460209646
2024-08-31,7,1000,0.00754417902874266,0.008,4.558209712573402
2024-08-31,8,1000,0.008923993347152086,0.005,39.239933471520864
2024-08-31,9,1000,0.011621736791481018,0.015,33.78263208518981
2024-08-31,10,1000,0.080282409658175,0.093,127.17590341825
2024-09-30,1,1000,0.0005070924431714673,0.0,5.070924431714673
2024-09-30,2,1000,0.0023582935007936887,0.003,6.417064992063114
2024-09-30,3,1000,0.0035789100438786406,0.003,5.789100438786405
2024-09-30,4,1000,0.004573164544052897,0.008,34.268354559471035
2024-09-30,5,1000,0.005536951077918205,0.01,44.63048922081795
2024-09-30,6,1000,0.006481957693590626,0.01,35.180423064093745
2024-09-30,7,1000,0.007554936023322023,0.003,45.54936023322023
2024-09-30,8,1000,0.008960433434659893,0.007,19.604334346598932
2024-09-30,9,1000,0.011942241057662742,0.011,9.422410576627426
2024-09-30,10,1000,0.08233451528868532,0.093,106.65484711314677
2024-10-31,1,1000,0.0006438871232643513,0.0,6.438871232643513
2024-10-31,2,1000,0.0024760876131655644,0.002,4.760876131655643
2024-10-31,3,1000,0.003672142445761641,0.003,6.721424457616409
2024-10-31,4,1000,0.004645646668824714,0.006,13.54353331175286
2024-10-31,5,1000,0.005564860521779866,0.009,34.35139478220133
2024-10-31,6,1000,0.006490167550512552,0.011,45.098324494874475
2024-10-31,7,1000,0.007501421154398871,0.006,15.014211543988706
2024-10-31,8,1000,0.008871381585710587,0.013,41.28618414289412
2024-10-31,9,1000,0.01154513220728748,0.016,44.548677927125205
2024-10-31,10,1000,0.07668707316183006,0.069,76.87073161830052
2024-11-30,1,1000,0.000644257811378265,0.0,6.44257811378265
2024-11-30,2,1000,0.002454775403396356,0.002,4.547754033963559
2024-11-30,3,1000,0.003646136675567265,0.004,3.538633244327353
2024-11-30,4,1000,0.004614368145554786,0.004,6.143681455547858
2024-11-30,5,1000,0.005566034673065017,0.005,5.660346730650169
2024-11-30,6,1000,0.006530980367697283,0.004,25.309803676972827
2024-11-30,7,1000,0.007611775678304107,0.005,26.117756783041067
2024-11-30,8,1000,0.009003785735557312,0.011,19.96214264442688
2024-11-30,9,1000,0.011847654266569526,0.015,31.523457334304734
2024-11-30,10,1000,0.07588662847057825,0.077,11.133715294217444
2024-12-31,1,1000,0.0005482708223001787,0.0,5.4827082230017865
2024-12-31,2,1000,0.0024234905406484066,0.002,4.234905406484065
2024-12-31,3,1000,0.0036974428541520043,0.011,73.02557145847994
2024-12-31,4,1000,0.004681859853512505,0.005,3.1814014648749547
2024-12-31,5,1000,0.005599177209324426,0.009,34.00822790675573
2024-12-31,6,1000,0.006511906044935334,0.006,5.119060449353336
2024-12-31,7,1000,0.007564367587742891,0.008,4.356324122571095
2024-12-31,8,1000,0.008957679954468901,0.009,0.42320045531098194
2024-12-31,9,1000,0.011836933731509968,0.009,28.36933731509969
2024-12-31,10,1000,0.07967042883014636,0.085,53.2957116985365
2025-01-31,1,1000,0.0005718430114824628,0.001,4.281569885175372
2025-01-31,2,1000,0.0024390324775837484,0.005,25.609675224162515
2025-01-31,3,1000,0.003612857275311286,0.005,13.87142724688714
2025-01-31,4,1000,0.004602135720197749,0.003,16.021357201977487
2025-01-31,5,1000,0.005542419652169131,0.009,34.575803478308686
2025-01-31,6,1000,0.006488661062191049,0.009,25.113389378089504
2025-01-31,7,1000,0.007533605215052354,0.008,4.663947849476461
2025-01-31,8,1000,0.008939169905827205,0.008,9.39169905827205
2025-01-31,9,1000,0.011876068017338755,0.015,31.23931982661244
2025-01-31,10,1000,0.07738723679403631,0.079,16.127632059636937
2025-02-28,1,1000,0.0005800873931014307,0.0,5.800873931014307
2025-02-28,2,1000,0.0024222837652865957,0.003,5.777162347134044
2025-02-28,3,1000,0.0036566804687575218,0.006,23.433195312424782
2025-02-28,4,1000,0.00463497764924603,0.004,6.349776492460303
2025-02-28,5,1000,0.005566372886982394,0.008,24.336271130176065
2025-02-28,6,1000,0.006566777955297342,0.006,5.667779552973422
2025-02-28,7,1000,0.0076980060809151984,0.017,93.01993919084802
2025-02-28,8,1000,0.009114440883588386,0.011,18.85559116411613
2025-02-28,9,1000,0.011944474037851364,0.014,20.555259621486357
2025-02-28,10,1000,0.08520617702396158,0.092,67.93822976038422
2025-03-31,1,1000,0.0005114728639579225,0.001,4.885271360420775
2025-03-31,2,1000,0.002355789376153936,0.003,6.442106238460639
2025-03-31,3,1000,0.003574764231138463,0.003,5.747642311384632
2025-03-31,4,1000,0.004580476499404817,0.006,14.195235005951831
2025-03-31,5,1000,0.0055188541371775455,0.002,35.18854137177546
2025-03-31,6,1000,0.006445937926337909,0.007,5.540620736620913
2025-03-31,7,1000,0.007462365415644348,0.007,4.623654156443481
2025-03-31,8,1000,0.008822460021901783,0.011,21.775399780982163
2025-03-31,9,1000,0.01168217627046763,0.007,46.821762704676296
2025-03-31,10,1000,0.07559390921123763,0.082,64.06090788762378
2025-04-30,1,1000,0.0005783869855633492,0.001,4.216130144366508
2025-04-30,2,1000,0.002412538240854912,0.005,25.874617591450882
2025-04-30,3,1000,0.003671583368885587,0.004,3.2841663111441313
2025-04-30,4,1000,0.00467605677168498,0.004,6.760567716849802
2025-04-30,5,1000,0.005627432031633825,0.007,13.725679683661753
2025-04-30,6,1000,0.006540945929576183,0.005,15.409459295761827
2025-04-30,7,1000,0.007622574965946128,0.014,63.77425034053873
2025-04-30,8,1000,0.009049108320812974,0.004,50.49108320812974
2025-04-30,9,1000,0.011701631104382437,0.014,22.98368895617563
2025-04-30,10,1000,0.07833783503758897,0.09,116.62164962411029
2025-05-31,1,1000,0.0005213485958042705,0.001,4.786514041957295
2025-05-31,2,1000,0.002312495940556849,0.007,46.87504059443151
2025-05-31,3,1000,0.00357389763413379,0.003,5.7389763413379
2025-05-31,4,1000,0.004610814053149277,0.005,3.8918594685072305
2025-05-31,5,1000,0.0055377571927782525,0.006,4.622428072217477
2025-05-31,6,1000,0.006453356177522154,0.004,24.533561775221536
2025-05-31,7,1000,0.007537982316461193,0.003,45.37982316461193
2025-05-31,8,1000,0.008915987792916195,0.016,70.84012207083805
2025-05-31,9,1000,0.011630331267022204,0.015,33.69668732977796
2025-05-31,10,1000,0.07669501816452681,0.076,6.950181645268144
2025-06-30,1,1000,0.0006013217224404858,0.001,3.9867827755951417
2025-06-30,2,1000,0.0023986554335709413,0.005,26.01344566429059
2025-06-30,3,1000,0.0035806274220101285,0.004,4.193725779898716
2025-06-30,4,1000,0.004563813240272124,0.004,5.638132402721241
2025-06-30,5,1000,0.005489273285591341,0.006,5.1072671440865935
2025-06-30,6,1000,0.00646669818087101,0.006,4.666981808710098
2025-06-30,7,1000,0.007522015580821256,0.004,35.22015580821255
2025-06-30,8,1000,0.00890618672039708,0.007,19.061867203970802
2025-06-30,9,1000,0.011811178590322775,0.018,61.88821409677223
2025-06-30,10,1000,0.07783953337283092,0.074,38.39533372830925
